                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.65637,                0.55687,                 1.0304,                0.75063,                0.66129,                0.74537,                 0.4426,                 1.4932,                 1.3628,                  1.766,             0.00050901,             0.00050901,             0.00050901
                     89,                0.67078,                0.56048,                 1.0444,                0.77961,                  0.708,                0.75788,                 0.4473,                 1.4774,                  1.264,                 1.7604,             0.00050665,             0.00050665,             0.00050665
                     90,                0.65977,                 0.5755,                 1.0447,                0.78796,                0.72465,                0.75853,                0.44653,                 1.4765,                 1.2265,                 1.7365,              0.0005043,              0.0005043,              0.0005043
                     91,                0.64516,                0.55758,                 1.0426,                0.79658,                0.64298,                0.73894,                0.44337,                 1.4854,                 1.2826,                 1.7852,             0.00050194,             0.00050194,             0.00050194
                     92,                 0.6542,                0.54998,                 1.0381,                0.80016,                0.72509,                0.76441,                0.45647,                 1.4854,                 1.2778,                 1.7656,             0.00049959,             0.00049959,             0.00049959
                     93,                 0.6545,                0.55818,                 1.0469,                 0.7318,                0.75414,                0.75952,                0.44872,                 1.4915,                 1.2504,                 1.7766,             0.00049723,             0.00049723,             0.00049723
                     94,                0.64848,                0.55137,                 1.0365,                0.79412,                0.69163,                 0.7494,                0.44518,                 1.4621,                 1.2742,                 1.7517,             0.00049487,             0.00049487,             0.00049487
                     95,                0.66624,                0.55721,                 1.0424,                 0.8276,                0.68162,                0.77015,                0.45277,                 1.4737,                 1.2462,                 1.7552,             0.00049252,             0.00049252,             0.00049252
                     96,                0.66144,                0.54608,                 1.0343,                0.78296,                0.71366,                0.76389,                0.43932,                 1.4817,                 1.2771,                 1.7572,             0.00049016,             0.00049016,             0.00049016
                     97,                0.66018,                0.55348,                 1.0459,                 0.8146,                0.67825,                0.74905,                0.45209,                 1.4542,                 1.3076,                 1.7504,              0.0004878,              0.0004878,              0.0004878
                     98,                0.64212,                0.54219,                 1.0305,                0.76674,                0.71194,                0.74745,                0.43493,                 1.4893,                 1.3704,                 1.7943,             0.00048545,             0.00048545,             0.00048545
                     99,                0.64226,                0.53474,                 1.0377,                0.85824,                0.68677,                0.76207,                0.45702,                 1.4766,                 1.2588,                 1.7796,             0.00048309,             0.00048309,             0.00048309
                    100,                0.65371,                0.55083,                 1.0405,                0.80957,                0.69774,                0.75981,                0.43902,                 1.5212,                 1.2433,                 1.8008,             0.00048074,             0.00048074,             0.00048074
                    101,                0.64234,                0.53553,                 1.0339,                0.81145,                0.67227,                 0.7494,                0.43767,                 1.4708,                 1.3716,                 1.7552,             0.00047838,             0.00047838,             0.00047838
                    102,                0.64239,                0.54175,                 1.0318,                0.78111,                0.71693,                0.75299,                0.44468,                 1.4846,                 1.3256,                 1.7373,             0.00047602,             0.00047602,             0.00047602
                    103,                0.63813,                0.53138,                 1.0304,                0.81127,                0.71725,                0.75616,                0.44279,                 1.4544,                 1.2688,                 1.7273,             0.00047367,             0.00047367,             0.00047367
                    104,                0.63626,                 0.5331,                 1.0256,                0.79469,                0.67422,                0.72942,                 0.4322,                 1.4918,                 1.3238,                 1.7748,             0.00047131,             0.00047131,             0.00047131
                    105,                0.62639,                0.52849,                 1.0249,                0.80017,                0.73485,                0.77181,                0.46113,                 1.4838,                 1.2373,                 1.7715,             0.00046896,             0.00046896,             0.00046896
                    106,                0.61932,                0.51609,                 1.0143,                  0.826,                0.69213,                0.75728,                0.43539,                 1.5423,                 1.3257,                 1.8361,              0.0004666,              0.0004666,              0.0004666
                    107,                0.62449,                 0.5307,                 1.0253,                0.80219,                0.68416,                0.75345,                0.44999,                 1.4763,                 1.2205,                 1.7699,             0.00046424,             0.00046424,             0.00046424
                    108,                0.62082,                0.53066,                  1.026,                0.78749,                0.73819,                0.77191,                0.46592,                 1.4734,                 1.2412,                 1.7876,             0.00046189,             0.00046189,             0.00046189
                    109,                0.62365,                0.53232,                 1.0332,                0.75309,                0.69365,                0.73513,                0.44805,                 1.4922,                 1.3432,                  1.802,             0.00045953,             0.00045953,             0.00045953
                    110,                0.60869,                0.51607,                 1.0271,                0.79502,                0.72171,                0.76817,                0.45824,                 1.4504,                 1.3113,                 1.7742,             0.00045717,             0.00045717,             0.00045717
                    111,                0.61711,                0.51202,                 1.0184,                0.79479,                0.66992,                0.74015,                0.42755,                 1.4887,                 1.4217,                 1.7687,             0.00045482,             0.00045482,             0.00045482
                    112,                0.61426,                0.52272,                 1.0203,                0.84099,                0.67735,                0.76723,                0.45082,                 1.4743,                 1.2261,                 1.7486,             0.00045246,             0.00045246,             0.00045246
                    113,                0.60837,                0.50743,                 1.0155,                0.80267,                0.67725,                0.75646,                0.45345,                  1.482,                 1.3501,                 1.7411,             0.00045011,             0.00045011,             0.00045011
                    114,                0.60111,                0.50582,                  1.009,                0.77054,                0.74028,                0.76326,                0.46369,                 1.4579,                 1.2262,                  1.762,             0.00044775,             0.00044775,             0.00044775
                    115,                0.58829,                0.48453,                0.99503,                0.77516,                0.69925,                0.75253,                0.44299,                 1.4778,                 1.3702,                  1.786,             0.00044539,             0.00044539,             0.00044539
                    116,                0.60188,                0.49692,                 1.0124,                0.77191,                0.72421,                0.75155,                0.45318,                   1.47,                 1.3295,                  1.764,             0.00044304,             0.00044304,             0.00044304
                    117,                0.59814,                0.49552,                 1.0018,                0.77742,                0.69254,                  0.746,                0.43818,                 1.4697,                 1.3133,                 1.7537,             0.00044068,             0.00044068,             0.00044068
                    118,                0.60929,                0.51003,                 1.0093,                 0.8042,                0.67326,                0.73049,                0.44184,                 1.5035,                  1.391,                 1.7998,             0.00043832,             0.00043832,             0.00043832
                    119,                0.58967,                0.50362,                 1.0055,                0.80167,                0.67938,                0.74842,                0.44469,                   1.49,                 1.2947,                 1.7543,             0.00043597,             0.00043597,             0.00043597
                    120,                0.59586,                 0.5101,                 1.0098,                0.77268,                0.74133,                 0.7713,                0.46052,                 1.4499,                 1.3093,                 1.7232,             0.00043361,             0.00043361,             0.00043361
                    121,                0.58298,                0.48078,                 1.0044,                 0.8262,                0.70549,                0.78034,                0.46691,                 1.4541,                 1.2028,                 1.7313,             0.00043126,             0.00043126,             0.00043126
                    122,                0.58847,                0.50221,                 1.0117,                0.82907,                0.69152,                0.76631,                0.47399,                 1.4429,                 1.2061,                 1.7487,              0.0004289,              0.0004289,              0.0004289
                    123,                0.58792,                0.49244,                 1.0112,                0.81436,                0.70678,                0.76001,                0.45808,                 1.4647,                  1.368,                 1.7648,             0.00042654,             0.00042654,             0.00042654
                    124,                0.59065,                0.50143,                 1.0076,                0.84206,                0.67751,                0.77285,                0.46755,                 1.4275,                 1.2364,                 1.7511,             0.00042419,             0.00042419,             0.00042419
                    125,                0.59572,                 0.4937,                 1.0071,                0.78717,                0.67867,                0.74494,                 0.4488,                 1.4583,                 1.3168,                 1.7805,             0.00042183,             0.00042183,             0.00042183
                    126,                0.57726,                0.47351,                0.99666,                0.77408,                0.73133,                0.74791,                 0.4469,                 1.4472,                 1.3836,                 1.7571,             0.00041947,             0.00041947,             0.00041947
